ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Household_Size,TotalSpent,LuxuryScore,HealthScore,TotalPurchases,TotalCampaignsAccepted,CmpAccRecency,CampaignMomentum,SpendPerCapita,Tenure,LoyaltyScore,WebPurchasesPerVisit,OnlinePurchases,WebRation_Z,ImpulseIndex
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,79,1,1315,0.7992395437262357,0.14904942965779466,25,2,6,-3.510833468576701e-17,1315.0,157,0.46218049668439787,1.75,0.5,0.8615270587595198,0.6788709434722532
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,45,4,96,0.59375,0.2708333333333333,6,0,0,0.0,24.0,156,0.193936187820323,0.3333333333333333,0.42857142857142855,-0.4581298337596626,0.3706392103414973
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,79,2,317,0.35331230283911674,0.6088328075709779,11,0,0,0.0,158.5,160,0.4033454504918327,0.5,0.4166666666666667,-0.24341903138323157,0.3337571028550411
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,76,3,1782,0.6666666666666666,0.32435465768799104,24,1,1,-0.20000000000000004,594.0,153,0.22404187368345196,1.8333333333333333,0.6,0.9159470661524494,0.5536100984270029
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,40,2,133,0.3233082706766917,0.49624060150375937,6,0,0,0.0,66.5,157,0.15907441738398376,0.2857142857142857,0.42857142857142855,-0.5244256803300414,0.343678558457377
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,2,316,0.4240506329113924,0.45569620253164556,11,0,0,0.0,158.0,160,0.29721824366275207,0.4444444444444444,0.5,-0.31221719113509044,0.3091002427952674
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,3,1730,0.0011560693641618498,0.9982658959537573,28,0,0,0.0,576.6666666666666,155,0.33781588129826157,0.0,0.9655172413793104,-0.982555514089704,0.48354559706663125
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,76,3,972,0.911522633744856,0.08847736625514403,14,1,4,0.1,324.0,156,0.25757282418315064,0.2222222222222222,0.3333333333333333,-0.6167459066534249,0.3863711371866088
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,3,544,0.7150735294117647,0.2261029411764706,17,0,0,0.0,181.33333333333334,143,0.8755491939892207,1.2,0.4444444444444444,0.45475089884142034,0.4635096706841636
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,74,3,444,0.831081081081081,0.1554054054054054,13,0,0,0.0,148.0,153,0.21344187567523154,0.7777777777777778,0.5714285714285714,0.06629584657037906,0.48785973218800427
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,1,75,0.25333333333333335,0.5866666666666667,6,0,0,0.0,75.0,155,0.15683120149428853,0.25,0.42857142857142855,-0.5757793541716043,0.3130424281509855
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,49,4,257,0.8326848249027238,0.14396887159533073,10,0,0,0.0,64.25,151,0.584846788690792,0.625,0.5454545454545454,-0.09750638875865944,0.40061067701344394
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,36,3,131,0.3511450381679389,0.48854961832061067,7,0,0,0.0,43.666666666666664,151,0.3066021810346842,0.5,0.375,-0.24341903138323157,0.35582932145527885
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,60,2,1672,0.4090909090909091,0.5514354066985646,25,1,5,0.19999999999999998,836.0,145,0.2210027470620316,2.0,0.5769230769230769,1.0201431316532825,0.5511833942451679
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,36,1,30,0.4,0.5333333333333333,6,0,0,0.0,30.0,139,0.24197170503624088,0.5,0.42857142857142855,-0.24341903138323157,0.2722369791802181
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,2,318,0.6320754716981132,0.29874213836477986,10,0,0,0.0,159.0,151,0.24372223356651512,0.5,0.6363636363636364,-0.24341903138323157,0.29123310211049325
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,55,3,120,0.9416666666666667,0.058333333333333334,7,1,4,0.1,40.0,158,0.2846463337867171,0.3333333333333333,0.375,-0.4581298337596626,0.349102069627401
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,73,3,302,0.4602649006622517,0.46688741721854304,11,0,0,0.0,100.66666666666667,158,0.5165444745317046,0.5714285714285714,0.4166666666666667,-0.15861607289376242,0.5018632489323572
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,79,2,1196,0.4214046822742475,0.5217391304347826,17,0,0,0.0,598.0,154,0.6770335597321304,0.375,0.4444444444444444,-0.402035104276994,0.3274394463757416
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,74,3,65,0.6615384615384615,0.3230769230769231,5,0,0,0.0,21.666666666666668,148,0.1728319179971285,0.25,0.3333333333333333,-0.5757793541716043,0.16804983756413985
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,55,3,913,0.8072289156626506,0.18400876232201532,23,0,0,0.0,304.3333333333333,144,0.3211299876533126,1.6666666666666667,0.4583333333333333,0.8054323292768513,0.49731604248942757
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,49,3,81,0.5185185185185185,0.3950617283950617,6,0,0,0.0,27.0,147,0.13659376415553265,0.375,0.5714285714285714,-0.402035104276994,0.3506567059114108
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52,2,67,0.8805970149253731,0.11940298507462686,5,0,0,0.0,33.5,142,0.10564321469255816,0.16666666666666666,0.3333333333333333,-0.7015488651428942,0.19759135695242436
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82,1,902,0.5310421286031042,0.4146341463414634,22,1,3,8.777083671441753e-18,902.0,154,0.3192162376371979,1.0,0.7391304347826086,0.2810066489468099,0.5592982542028454
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,45,3,1395,0.374910394265233,0.4974910394265233,19,0,0,0.0,465.0,152,0.7005984844389415,1.6,0.7,0.7592796143597548,0.5062754893420179
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40,3,53,0.37735849056603776,0.6226415094339622,5,0,0,0.0,17.666666666666668,153,0.1095419202497376,0.2222222222222222,0.3333333333333333,-0.6167459066534249,0.2028767823735852
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,68,3,22,0.5454545454545454,0.4090909090909091,3,0,0,0.0,7.333333333333333,156,0.5039264499066454,0.0,0.0,-0.982555514089704,0.14269712470306326
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50,3,31,0.4838709677419355,0.45161290322580644,5,0,0,0.0,10.333333333333334,146,0.292508820206746,0.3333333333333333,0.3333333333333333,-0.4581298337596626,0.3060098891232072
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,49,1,984,0.3018292682926829,0.6676829268292683,15,0,0,0.0,984.0,138,0.2610342387877552,1.0,0.375,0.2810066489468099,0.3364416973053813
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,29,2,122,0.4344262295081967,0.38524590163934425,7,0,0,0.0,61.0,157,0.33683232502072513,0.3,0.5,-0.5042825486767593,0.3885906915820621
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,57,3,55,0.4727272727272727,0.43636363636363634,4,0,0,0.0,18.333333333333332,151,0.10356835271264667,0.18181818181818182,0.4,-0.6780267985713696,0.2077694104632117
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71,4,1319,0.6550416982562547,0.3161485974222896,19,0,0,0.0,329.75,157,0.3295056817977295,0.5555555555555556,0.35,-0.17712318481285264,0.5813286538549225
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68,2,507,0.5108481262327417,0.35700197238658776,16,0,0,0.0,253.5,139,0.34477251155967986,1.3333333333333333,0.35294117647058826,0.5620132978936198,0.3869121920842645
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61,2,1693,0.4028352037802717,0.4985233313644418,28,0,0,0.0,846.5,160,0.7789757639006168,1.5,0.5172413793103449,0.6877828088649096,0.4326973303839018
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,2,72,0.20833333333333334,0.7777777777777778,5,0,0,0.0,36.0,155,0.19938829678289377,0.25,0.3333333333333333,-0.5757793541716043,0.23451102915106609
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48,1,1617,0.4644403215831787,0.5108225108225108,20,2,4,-0.2,1617.0,138,0.32192470003663454,2.0,0.6190476190476191,1.0201431316532825,0.6669178364948181
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47,4,606,0.7211221122112211,0.23927392739273928,16,0,0,0.0,151.5,150,0.23847277862474925,1.0,0.35294117647058826,0.2810066489468099,0.5546490213309965
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,70,2,1957,0.5998978027593255,0.33878385283597345,26,1,5,0.19999999999999998,978.5,157,0.3197124323511646,1.5,0.48148148148148145,0.6877828088649096,0.5552682136669979
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59,1,1093,0.30649588289112534,0.5837145471180238,20,0,0,0.0,1093.0,152,0.4098703564455858,1.25,0.47619047619047616,0.49571745132324085,0.4069581677851014
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,37,2,29,0.6206896551724138,0.3448275862068966,5,0,0,0.0,14.5,140,0.2296645124603977,0.25,0.16666666666666666,-0.5757793541716043,0.16804983756413985
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57,3,518,0.9459459459459459,0.05405405405405406,16,0,0,0.0,172.66666666666666,141,0.2200772747188537,1.0,0.5882352941176471,0.2810066489468099,0.30598503411470246
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43,1,1438,0.5507649513212796,0.44019471488178025,20,2,9,0.30000000000000004,1438.0,149,0.5543460520381487,1.5,0.42857142857142855,0.6877828088649096,0.6011219312040379
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,50,4,612,0.7483660130718954,0.2222222222222222,18,0,0,0.0,153.0,159,0.4165662586890476,1.0,0.3157894736842105,0.2810066489468099,0.4660951081250871
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,73,2,884,0.7828054298642534,0.20135746606334842,20,0,0,0.0,442.0,154,0.39819957890280366,1.0,0.47619047619047616,0.2810066489468099,0.4561774246869822
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74,2,606,0.9108910891089109,0.07920792079207921,18,0,0,0.0,303.0,150,0.5519788641274885,1.1666666666666667,0.5263157894736842,0.4269192915713821,0.28310361808168916
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,77,2,1076,0.39776951672862454,0.4888475836431227,15,0,0,0.0,538.0,144,0.3791049115572088,1.4,0.6875,0.6133669717351825,0.41497858831652407
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,54,3,34,0.47058823529411764,0.35294117647058826,4,0,0,0.0,11.333333333333334,151,0.11379411692764196,0.125,0.4,-0.7678447117132731,0.20863880992251643
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58,4,11,0.9090909090909091,0.09090909090909091,3,0,0,0.0,2.75,139,0.7028856718375209,0.125,0.25,-0.7678447117132731,0.12699821337912995
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,46,2,1274,0.5698587127158555,0.41130298273155413,31,2,4,-0.2,637.0,141,0.4454929965637199,1.8333333333333333,0.65625,0.9159470661524494,0.6396687525312474
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,67,3,653,0.5451761102603369,0.32924961715160794,17,0,0,0.0,217.66666666666666,147,0.6292071403657248,1.0,0.3888888888888889,0.2810066489468099,0.37776118957133475
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,55,5,1562,0.5947503201024328,0.3866837387964149,12,0,0,0.0,312.4,152,0.2017997650454535,0.3333333333333333,0.5384615384615384,-0.4581298337596626,0.5162309287071561
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,71,2,1253,0.4054269752593775,0.5466879489225858,18,0,0,0.0,626.5,159,0.8310051501767021,1.0,0.631578947368421,0.2810066489468099,0.4784566123880658
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,66,3,863,0.3986095017381228,0.5585168018539977,26,0,0,0.0,287.6666666666667,153,0.3643294721039413,1.25,0.48148148148148145,0.49571745132324085,0.5085581312982349
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,50,4,661,0.8835098335854765,0.10741301059001512,19,1,4,0.1,165.25,152,0.18265522249960175,1.125,0.55,0.3915213858224081,0.5973141477683593
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,73,2,65,0.35384615384615387,0.4153846153846154,7,0,0,0.0,32.5,140,0.171956690124061,0.6666666666666666,0.375,-0.0513536738415628,0.28797807095028666
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48,2,13,0.23076923076923078,0.6923076923076923,3,0,0,0.0,6.5,156,0.11255870627818346,0.14285714285714285,0.25,-0.7391364827064725,0.15786844843261272
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,53,2,1890,0.391005291005291,0.5994708994708995,18,0,0,0.0,945.0,160,0.39334288798403105,1.1666666666666667,0.6842105263157895,0.4269192915713821,0.3249968624309302
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,49,1,2209,0.4902670891806247,0.4622000905387053,22,1,3,8.777083671441753e-18,2209.0,158,0.39977520826778457,1.0,0.5652173913043478,0.2810066489468099,0.4107465425410233
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,49,2,18,0.5555555555555556,0.2777777777777778,3,0,0,0.0,9.0,147,0.24958493167988643,0.0,0.0,-0.982555514089704,0.17177809195160387
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,60,2,692,0.9075144508670521,0.09248554913294797,19,1,3,8.777083671441753e-18,346.0,155,0.545724837578768,1.1111111111111112,0.55,0.3795676717334203,0.40131236711750545
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,40,2,165,0.4909090909090909,0.47878787878787876,8,0,0,0.0,82.5,160,0.16739813900468847,0.3333333333333333,0.4444444444444444,-0.4581298337596626,0.3716670894895049
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,3,16,0.5,0.5,3,0,0,0.0,5.333333333333333,150,0.4564930655824826,0.125,0.25,-0.7678447117132731,0.12699821337912995
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,52,3,79,0.6075949367088608,0.3924050632911392,6,0,0,0.0,26.333333333333332,149,0.12025487384099981,0.375,0.42857142857142855,-0.402035104276994,0.26341380416578897
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,2,318,0.6320754716981132,0.29874213836477986,10,0,0,0.0,159.0,151,0.24372223356651512,0.5,0.6363636363636364,-0.24341903138323157,0.29123310211049325
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,38,1,778,0.30719794344473006,0.609254498714653,26,0,0,0.0,778.0,142,0.4624915143086701,1.5,0.48148148148148145,0.6877828088649096,0.39349841694359117
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,65,4,56,0.35714285714285715,0.5714285714285714,5,0,0,0.0,14.0,148,0.0889741309305532,0.125,0.16666666666666666,-0.7678447117132731,0.26098331984694184
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,55,4,151,0.8940397350993378,0.10596026490066225,8,1,4,0.1,37.75,149,0.21182333115380414,0.375,0.4444444444444444,-0.402035104276994,0.46621438469814236
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,68,2,372,0.8763440860215054,0.11559139784946236,13,2,5,-0.10000000000000002,186.0,139,0.6496367532866204,0.75,0.5,0.03758761756357828,0.6582306558908456
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,52,2,1366,0.3623718887262079,0.5402635431918009,18,1,5,0.19999999999999998,683.0,139,0.25277080839708965,1.6666666666666667,0.5789473684210527,0.8054323292768513,0.5668823055691012
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,58,3,194,0.7319587628865979,0.26804123711340205,9,0,0,0.0,64.66666666666667,143,0.15685030454669618,0.6666666666666666,0.4,-0.0513536738415628,0.17165420195612419
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53,2,32,0.59375,0.375,4,0,0,0.0,16.0,141,0.12655914939301083,0.125,0.2,-0.7678447117132731,0.15607918062767057
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,55,3,43,0.627906976744186,0.37209302325581395,7,0,0,0.0,14.333333333333334,139,0.0968590336802074,0.5,0.5,-0.24341903138323157,0.27329970247417756
